review_id,dataset_id,dataset_name,review_priority,reason_review_needed,minimum_metadata_to_request,exact_question_for_pi_or_manual_reviewer,possible_decision_after_review
REV1_001,GSE138852,GSE138852 / Grubman-Leng,medium,"Grubman/Leng remains useful as external directional smoke-test or entorhinal-cortex support, but underpowered/incomplete for primary clean validation.",donor/sample metadata; pathology/mechanism readouts; gene/module measurements; batch/provenance; licensing/access; prior-use independence,"Can this resource be approved for the proposed bounded claim level, and if clean validation is desired, does it satisfy every Stage 36E/37A independence and readout rule?",approve_bounded_support; approve_conditional_clean_validation; keep_manual_review_pending; disqualify_clean_validation_with_explicit_reason
REV1_002,GSE174367,GSE174367 / Morabito,high,"Morabito resource remains reasonable to reuse, but local v2 artifacts require contamination/independence review before any clean-validation claim.",donor/sample metadata; pathology/mechanism readouts; gene/module measurements; batch/provenance; licensing/access; prior-use independence,"Can this resource be approved for the proposed bounded claim level, and if clean validation is desired, does it satisfy every Stage 36E/37A independence and readout rule?",approve_bounded_support; approve_conditional_clean_validation; keep_manual_review_pending; disqualify_clean_validation_with_explicit_reason
REV1_003,PUBLIC_CELLXGENE_MICROGLIA,Public CELLxGENE microglia datasets,medium,Resource supports signature/module/candidate concordance more than full pathology validation.,donor/sample metadata; pathology/mechanism readouts; gene/module measurements; batch/provenance; licensing/access; prior-use independence,"Can this resource be approved for the proposed bounded claim level, and if clean validation is desired, does it satisfy every Stage 36E/37A independence and readout rule?",approve_bounded_support; approve_conditional_clean_validation; keep_manual_review_pending; disqualify_clean_validation_with_explicit_reason
REV1_004,LU_2026_SIGNATURES,Lu et al. 2026 signatures/supplementary tables,medium,Resource supports signature/module/candidate concordance more than full pathology validation.,donor/sample metadata; pathology/mechanism readouts; gene/module measurements; batch/provenance; licensing/access; prior-use independence,"Can this resource be approved for the proposed bounded claim level, and if clean validation is desired, does it satisfy every Stage 36E/37A independence and readout rule?",approve_bounded_support; approve_conditional_clean_validation; keep_manual_review_pending; disqualify_clean_validation_with_explicit_reason
REV1_005,PIG_WGCNA_RESOURCES,PIG / WGCNA resources,medium,Resource supports signature/module/candidate concordance more than full pathology validation.,donor/sample metadata; pathology/mechanism readouts; gene/module measurements; batch/provenance; licensing/access; prior-use independence,"Can this resource be approved for the proposed bounded claim level, and if clean validation is desired, does it satisfy every Stage 36E/37A independence and readout rule?",approve_bounded_support; approve_conditional_clean_validation; keep_manual_review_pending; disqualify_clean_validation_with_explicit_reason
REV1_006,GSE157827,Candidate public external brain snRNA/scRNA dataset,high,Scientifically plausible validation/acquisition candidate; missing evidence is not rejection.,donor/sample metadata; pathology/mechanism readouts; gene/module measurements; batch/provenance; licensing/access; prior-use independence,"Can this resource be approved for the proposed bounded claim level, and if clean validation is desired, does it satisfy every Stage 36E/37A independence and readout rule?",approve_bounded_support; approve_conditional_clean_validation; keep_manual_review_pending; disqualify_clean_validation_with_explicit_reason
REV1_007,GSE147528,Candidate public external brain snRNA/scRNA dataset,medium,Scientifically plausible validation/acquisition candidate; missing evidence is not rejection.,donor/sample metadata; pathology/mechanism readouts; gene/module measurements; batch/provenance; licensing/access; prior-use independence,"Can this resource be approved for the proposed bounded claim level, and if clean validation is desired, does it satisfy every Stage 36E/37A independence and readout rule?",approve_bounded_support; approve_conditional_clean_validation; keep_manual_review_pending; disqualify_clean_validation_with_explicit_reason
REV1_008,GSE203206,Bulk donor/sample-level external stress test,medium,Evidence is insufficient; missing metadata is not rejection.,donor/sample metadata; pathology/mechanism readouts; gene/module measurements; batch/provenance; licensing/access; prior-use independence,"Can this resource be approved for the proposed bounded claim level, and if clean validation is desired, does it satisfy every Stage 36E/37A independence and readout rule?",approve_bounded_support; approve_conditional_clean_validation; keep_manual_review_pending; disqualify_clean_validation_with_explicit_reason
REV1_009,GSE181279,Peripheral immune plausibility/auxiliary dataset,medium,Resource supports signature/module/candidate concordance more than full pathology validation.,donor/sample metadata; pathology/mechanism readouts; gene/module measurements; batch/provenance; licensing/access; prior-use independence,"Can this resource be approved for the proposed bounded claim level, and if clean validation is desired, does it satisfy every Stage 36E/37A independence and readout rule?",approve_bounded_support; approve_conditional_clean_validation; keep_manual_review_pending; disqualify_clean_validation_with_explicit_reason
REV1_010,37a17b78-4864-4a42-b67b-31c00962795a,MSSM_Cohort,medium,Evidence is insufficient; missing metadata is not rejection.,donor/sample metadata; pathology/mechanism readouts; gene/module measurements; batch/provenance; licensing/access; prior-use independence,"Can this resource be approved for the proposed bounded claim level, and if clean validation is desired, does it satisfy every Stage 36E/37A independence and readout rule?",approve_bounded_support; approve_conditional_clean_validation; keep_manual_review_pending; disqualify_clean_validation_with_explicit_reason
REV1_011,5e57cd50-8e42-42d6-940d-5c1660d06864,RADC_Cohort,medium,Evidence is insufficient; missing metadata is not rejection.,donor/sample metadata; pathology/mechanism readouts; gene/module measurements; batch/provenance; licensing/access; prior-use independence,"Can this resource be approved for the proposed bounded claim level, and if clean validation is desired, does it satisfy every Stage 36E/37A independence and readout rule?",approve_bounded_support; approve_conditional_clean_validation; keep_manual_review_pending; disqualify_clean_validation_with_explicit_reason
REV1_012,cff99df2-4904-44f7-9173-ff837f95606e,all cells,medium,Evidence is insufficient; missing metadata is not rejection.,donor/sample metadata; pathology/mechanism readouts; gene/module measurements; batch/provenance; licensing/access; prior-use independence,"Can this resource be approved for the proposed bounded claim level, and if clean validation is desired, does it satisfy every Stage 36E/37A independence and readout rule?",approve_bounded_support; approve_conditional_clean_validation; keep_manual_review_pending; disqualify_clean_validation_with_explicit_reason
