path,bytes,sha256,mtime,extension,git_present_exact,git_present_different,git_present_status,ignored_reason,likely_stage,classification,decision_bearing,sensitive_or_protected,sensitive_class,large_or_generated,fresh_hash_performed,existing_manifest_sha256_if_available,recommended_action,reason,proposed_repo_path,git_filter_alters_bytes,applicable_attributes,exact_byte_preservation_possible
docs/causal_discovery.md,8196,31e2377c3e8177713dbb376a0ca9cd7186e1d9c7a80a4b31d45d5073f8ddfd0a,2026-06-13T18:43:50+00:00,.md,True,False,TRACKED,,CURRENT_GENERAL,CURRENT_CONTRACT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/causal_discovery.md,False,{},True
docs/architecture.md,6397,a419c6cd5b8f67693231ec8337f885d0c37581a65dd8eb181cf0491a62f3995a,2026-06-07T17:33:40+00:00,.md,True,False,TRACKED,,CURRENT_GENERAL,CURRENT_CONTRACT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/architecture.md,False,{},True
docs/DATASET_REGISTRY.md,4306,51d687225ddd180b6509ec6f021fad4426901b4153b54ef7ba2bf7bdadda8d53,2026-06-20T14:44:06+00:00,.md,True,False,TRACKED,,CURRENT_GENERAL,CURRENT_CONTRACT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/DATASET_REGISTRY.md,False,{},True
docs/current_status.md,98454,b342abbec506f06c071f8f1270f4890fe8a5035edd3f823a11028b8d3fdf8598,2026-07-11T14:10:02+00:00,.md,True,False,TRACKED,,CURRENT_GENERAL,CURRENT_CONTRACT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/current_status.md,False,{},True
docs/dataset_guide.md,12163,d5f30edc5d822130c60dd1fd69fb733490056cf89e63b8d20023fb233dd8ec7a,2026-06-06T14:23:12+00:00,.md,True,False,TRACKED,,CURRENT_GENERAL,CURRENT_CONTRACT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/dataset_guide.md,False,{},True
docs/external_validation_next_steps.md,11567,0d97ffaf5530a71ea4807a07b039dc6801524921cfb997414fa0645403e9ee7d,2026-06-10T00:52:26+00:00,.md,True,False,TRACKED,,CURRENT_GENERAL,CURRENT_CONTRACT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/external_validation_next_steps.md,False,{},True
docs/external_cohort_reconnaissance.md,5447,48564f71607f7b7de1b6d0254d9dd7ce33419879e59421a59f75c2847c8b7b4a,2026-06-10T00:52:10+00:00,.md,True,False,TRACKED,,CURRENT_GENERAL,CURRENT_CONTRACT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/external_cohort_reconnaissance.md,False,{},True
docs/github_about.md,2482,d331cd9b38ecc92f78ddb4900d597d6468944a32636afba529991a93afa44865,2026-06-15T02:39:08+00:00,.md,True,False,TRACKED,,CURRENT_GENERAL,CURRENT_CONTRACT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/github_about.md,False,{},True
docs/external_perturbation_benchmarks.md,11014,183011782e8a25d8ef5ae5a443cdfc99ef26ce9cff70a40c69c926a2f54ee9ef,2026-06-06T14:21:38+00:00,.md,True,False,TRACKED,,CURRENT_GENERAL,CURRENT_CONTRACT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/external_perturbation_benchmarks.md,False,{},True
docs/figure_gallery.md,7619,3ff0b5d17fb4f24b2e7d1b971620f4cd66b3d395a8575c6c04c2d93f0e2a789d,2026-06-07T17:31:36+00:00,.md,True,False,TRACKED,,CURRENT_GENERAL,CURRENT_CONTRACT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/figure_gallery.md,False,{},True
docs/github_repo_checklist.md,1850,a6b0dfcc7e5dbd9ba808ddbb7c0daee03bd9018a88a6b10dae1297b3e56365f4,2026-06-06T14:43:30+00:00,.md,True,False,TRACKED,,CURRENT_GENERAL,CURRENT_CONTRACT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/github_repo_checklist.md,False,{},True
docs/gpu_setup.md,2341,668309343b34f23917e8fa1890754d6b96acc743781255ee525bcc69f6a56368,2026-05-29T03:35:00+00:00,.md,True,False,TRACKED,,CURRENT_GENERAL,CURRENT_CONTRACT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/gpu_setup.md,False,{},True
